penulis,id_user,waktu,isi_tweet,label
noy,@noy,2025-04-16T04:11:17.000Z,"Saking bingungnya sama ppt dosen, aku jd minta chatgpt buat ngejelasin pake bahasa bayi dan BERHASIL... aku jadi paham",1
kal???,@kal???,2025-05-26T12:52:35.000Z,dosen gue (a tech bro) pernah cerita kalo beliau pernah bandingin jawaban deepseek sama chatgpt free dan beliau prefer deepseek. karena beliau pinter gue pun rada percaya dan barusan nyoba nanyain list pertanyaan untuk wawancara mendalam. mnurut gue chatgpt lebih bagus sih ...,1
?????? ???????????????? ???? ??????????,@?????? ???????????????? ???? ??????????,2025-06-01T14:16:31.000Z,"Jadi aku kan minta chatgpt nge-roasting draft aku, terus sekarang aku kena mental....   Thx btw  roastingannya lebih ""berisi"" dibanding insight yg aku dapet dari dosen",1
osean,@osean,2025-04-17T00:27:39.000Z,Ini dosen apa ngajarin pake chatgpt,0
tia?,@tia?,2025-06-21T04:19:08.000Z,Ketahuan dosen pake chatgpt awkwkwkkw,-1
JEZZ,@JEZZ,2024-09-25T11:03:41.000Z,"mau ngechat dosen pembimbing yg gk pernah w chat bertahun-tahun, w nanya chatgpt dulu",1
dawna,@dawna,2023-12-09T08:05:18.000Z,si tolol ini lagi share screen connected papers depan dosen taunya yang muncul di screen CHATGPT,-1
.,@.,2025-04-24T16:33:12.000Z,"inggris bagus cuma gara gara beruntung dapet dibelakang gue, gue tutupin dari dosen lu nyontek ke chatgpt dsr gendut sok iye",-1
Putriput,@Putriput,2024-10-08T09:10:44.000Z,Njir dosen gw ngajarin chatgpt pura� ga tau aja la,1
inididi,@inididi,2024-10-25T09:24:46.000Z,"Prof Stella ngomongin soal Chat GPT dan aku setuju banget. Makanya kalo aku jarang pake ya bukan karena gatau tapi karena merasa.. aku butuh mengasah kemampuanku. 2x aga diejek dosen karena ga pake ChatGPT kesannya punya hp bagus ga dimanfaatkan, pakek lah Chat GPT",1
ava,@ava,2024-12-12T19:39:51.000Z,dosen gua ngasih materi pake chatgpt,0
gresi,@gresi,2025-05-16T19:07:25.000Z,Dosbing 1: Bapak dosen Dosbing 2: Chatgpt   lov lov lov bgt deh udh bantu saya memahami interpretasi hasil data regresi linier berganda  Rasanya mau cantumin namanya di kata pengantar,1
van*,@van*,2025-02-17T01:35:25.000Z,"kapan lagi dosen terang""an nyuruh pake chatgpt",1
�,@�,2024-10-26T15:58:47.000Z,HAL LUCU HARI INI  AKU EDIT DI CHATGPT TRUS DIJUAL  kalo ketemu dosen gua �digetak� anjir,-1
Marshall Mellow,@Marshall Mellow,2025-07-22T03:46:23.000Z,"ada pemilihan ketua alumni, alumni lain tanya goals ketua alumni apa. disuruh chatgpt aja, yg nyuruh jg dosen buset kata gue tehhh",-1
aipan,@aipan,2025-05-15T04:11:26.000Z,jujurly ini saya kuliah s1 lagi 95% ditemenin chatgpt ibu bapa dosen:),1
mai,@mai,2024-11-19T07:20:54.000Z,dosen apaan yang mengandalkan chatgpt,-1
jev,@jev,2024-09-30T04:43:02.000Z,dosen dapusku adalah ba chatgpt,0
Ratih � Stories Discontinued.,@Ratih � Stories Discontinued.,2024-12-10T08:44:46.000Z,Gue bingung banget sama orang yang nyari tau case study itu apa aja masih lewat chatgpt. Ini dosen loh anjir. You should've done better. Ada google. Buku referensi banyak. Kenapa harus pakai AI?,-1
Ridho ?,@Ridho ?,2025-05-21T07:56:15.000Z,"Kok org berani bgt sih. Pas bimbingan bab 2, ditanyain dosen sumberny dpt darimana, mlah ngomong chatgpt . Blok-goblok. Untung santai dosen e",-1
?,@?,2025-03-13T00:40:21.000Z,"dan ngomong ngomong tentang mencantumkan sumber, dosen gua ngomong begini ""masa bisa pake chatgpt tapi ga tau caranya nyari jurnal di google scholar"" WKWKWKWK TAIK NGAKAK BGT",-1
e,@e,2025-12-15T05:07:47.000Z,day 1 ketauan dosen pake chatgpt ngentotttt pke di blg hrs kl ngerjain ya kalian ngerti brengskiiiiiiiii,-1
Najla,@Najla,2025-03-09T09:55:59.000Z,dosen ps dan mutki gw yg sbnrnya adalah chatgpt karna ya�. **sebagian teks hilang** ((ytta)),1
~dy,@~dy,2025-04-29T04:47:54.000Z,Dibantai dosen pas sidang ternyata gaada apa-apanya sama dibantai chatGPT  Akibat serampangan tanya chatGPT dan suruh dia nilai skripsiku,1
????naya,@????naya,2025-01-15T02:44:00.000Z,lebih paham dijelasin chatgpt daripada dijelasin dosen,1
Ur softboy,@Ur softboy,2025-10-20T08:39:08.000Z,"asik juga yaa punya dosen yang gak anti sama ai, tiap minggu beneran malah dikasih tau ""how to use ai as a tool"", ini makin sering gue pake, chatgpt gue makin pinter. Tiap nanya juga, gak asbun selalu munculin sumbernya biar valid wkwkw",1
cha,@cha,2024-09-21T15:56:43.000Z,Eh dosen kuali ga kontra chatgpt kan ya,0
?cy?,@?cy?,2025-02-02T11:56:27.000Z,"hidup gua klo tiap mau bales chat orng2 penting macam dosen dll, habis ketik lgsung bolak balik chatgpt anjay KWOAKWOKWOK.. mana chat kyk sama bestie lg",1
cayochi? ??-,@cayochi? ??-,2023-04-13T04:33:39.000Z,Dosen ak nnyak siapa yg pake chatgpt Ak menjawab dlm hati,0
belleapens�e,@belleapens�e,2024-06-26T11:11:04.000Z,woi ngakak bgtt dosen gue blg skrg chatgpt lebih akurat daripada google jd kalo bingung dan gaada professional help suruh tanya ke chatgpt aja,1
han the kid,@han the kid,2024-11-05T03:25:12.000Z,sujud syukur hari ini uts satu matkul dosen nya ga ngawas open hp dan chatgpt sekelas,1
Mel,@Mel,2023-08-22T12:21:16.000Z,Dosen w yang satu larang pake chatgpt dosen satunya lagi bilang boleh pake chatgpt asal gak ketiplek banget,0
Roland Chevtroika,@Roland Chevtroika,2023-03-11T12:30:41.000Z,Gokil chatgpt ini dosen versi gercep,1
theavyoria,@theavyoria,2025-04-08T15:29:20.000Z,"dosen ku baikkk, boleh chatgpt",1
man,@man,2024-06-18T05:14:44.000Z,"dosen kimia ku gjls bgt,, buat ebook sumber chatgpt tapi harus ada daftar pustaka apasihh WKWKWKKW",-1
kayra ia,@kayra ia,2025-09-18T13:08:43.000Z,bimbingan sama dosen  bimbingan sama chatgpt,0
tasy,@tasy,2025-12-15T13:55:01.000Z,Kenapa chatgpt ga jadi dosen kita aja si? Beliau ini bisa membantu kita kapapun dan dimanapun,1
UG FESS,@UG FESS,2025-11-20T04:54:13.000Z,"yuji! aku tipe belajar yang praktek jadi kalo dosen ngejelasin panjang dari ppt tapi kebanyakan teori itu aku jadi pusing sendiri. ada tips biar belajarnya enak ga? kadang suka belajar sama chatgpt juga tapi dosennya tuh gamau semua� dari chatgpt, aku jadi ngerasa tertekan",-1
??????,@??????,2024-07-01T17:27:28.000Z,siwkwiak bs bs nya ya gue lbih ngerti penjelasan chatgpt drpd dosen w,1
R Y S,@R Y S,2025-03-11T21:08:02.000Z,"Oh mgkn krg literasi. Byk yg ngira kl DOSEN di PTN itu bukan PNS. Ya uda dosen aja gitu. Kayak Dokter. Dokter dan Dosen itu ada yg PNS. Dosen di kampus negeri yo PNS, Dokter di RSUD / Puskesmas itu ya PNS ! Aduuu main� chatgpt deh kl malas baca",1
"The Lucky, Mary.","@The Lucky, Mary.",2025-10-22T05:09:27.000Z,"debat sama temen karena soal ekonomi...  gue ngikutin rumus dari dosen, dia pakai chatgpt.",-1
karen,@karen,2025-08-26T09:47:35.000Z,"ada teman kuliah ak yang s1-nya sama2 dari u gm tapi angkatan senior banget, beda 8 tahun dari ak, trus udah s2 juga di uwiw dan skrg ambil s2 lagi bareng sama ak TAPI hampir setiap dosen tanya, si teman ini langsung buka chatgpt. zuzur ak kecewa bgt",-1
dimasy,@dimasy,2025-11-22T14:30:03.000Z,"kalo dosen lgi jelasin, boleh gasih gua nanya kaya gua nanya ke chatgpt",0
miya,@miya,2025-03-04T02:05:58.000Z,"gw, ngerjain kerjaan pake chatgpt krn udh buntu: *merasa bersalah* dosen satu tim project gw: ini saya tanya chatgpt dulu ya miya gw:  gw:",1
jq^v^,@jq^v^,2025-12-06T00:41:10.000Z,belum bobok dan nugas di jam 7 pagi hari sabtu ini sambil bimbingan dengan dosen pembimbing yg keren itu (chatgpt dan gemini),1
git,@git,2025-08-20T07:59:36.000Z,"dosen komunikasi, tapi ngasih catatan revisi pake chatgpt",-1
cazzara,@cazzara,2025-05-21T03:50:06.000Z,"kadang lebih paham materi yg dikasih chatgpt daripada ppt dosen. gatau knp tp kdg bbrpa ppt dosen penulisannya gk tepat even spok dan tanda bacanya pun. susah dipahami ini mksutnya mau kemana bahas apaan, manfaat kah, proses kah, tujuan kah, jenis kah",1
ivy ??? demotivational era???,@ivy ??? demotivational era???,2025-11-18T14:43:33.000Z,ucapan terima kasih pertama yg ada di kata pengantar tuh harusnya bukan keluarga atau dosen tp chatgpt,1
mugu ?^. .^??,@mugu ?^. .^??,2025-05-22T06:13:19.000Z,dosen gw ngajar fisika inti pake chatgpt,0
Devi,@Devi,2025-10-30T10:08:35.000Z,"Lagi-lagi kepikiran AI gara-gara liat video dosen marah-marah ke maba krn pakai chatgpt instead of Blackbox apa gitu. Katanya, nanti kalian akan jd karyawan mcd kalo kyk gitu. Terus nemu komen, ""video ini AI"". Oh, people really begin to distrust anything they saw online.",-1
chimeng,@chimeng,2024-06-06T04:13:16.000Z,dosen mana lagi yang ngajarin penggunaam chatgpt biar cheatnya ga keliatan sama kiat kiat meng-hire joki dengan baik dan benar untuk skripsian,-1
sya,@sya,2025-10-28T10:25:15.000Z,yuk kalkulus yuk chatgpt ku limit jd gbs translate ppt dosen neuroscience,-1
zay,@zay,2025-12-10T13:41:55.000Z,kenapa.... gw lebih paham pas dijelasin sama chatgpt daripada sama dosen.....,1
yoru,@yoru,2025-07-20T16:33:49.000Z,"agak aneh liat  @Alhaithaxm  ngomong ama grok di tl, trus keinget diri sendiri kalo dapet feedback dr dosen suka tanya chatgpt....",0
Arr,@Arr,2025-07-01T03:24:54.000Z,"Capek-capek kuliah bayar mahal pas dateng cuma nontonin presentasi amburadul org lain hasil chatgpt, ini dosen-dosen gk bisa bikin bahan ajar kah?",-1
Ari Anggara,@Ari Anggara,2025-05-09T15:58:51.000Z,Ini aing ngeliatin dosen live di tiktok bikin artikel pake chatgpt kok kek mudah banget ya anj,1
?cinnn?,@?cinnn?,2024-03-08T02:01:17.000Z,"Bagaimana perasaan kalian pas udah begadang buat ngerjain ppt tapi paginya dosennya becandain kita chatgpt, ada gila2nya tuh dosen belum juga u official jadi dosen ibuuuuu",-1
Lan.,@Lan.,2024-10-25T12:50:15.000Z,Akan selalu gua mampusin orang yang ketahuan sama dosen ngerjain tugasnye pake chatgpt,-1
Rav,@Rav,2025-08-19T15:50:42.000Z,"Latihan ujian sempro sama chatgpt, dan i realized, I'm cooked  banyak banget celah dari latbel gua yang bisa dibantai ma dosen penguji",1
vinez,@vinez,2025-06-07T00:49:56.000Z,"diuji oleh dosen pembimbing, divalidasi oleh chatgpt  jadi sebenernya dosbing = dosji dan chatgpt = dosbing",1
?,@?,2025-10-23T01:07:22.000Z,dosen gue �kl kesulitan testnya boleh buka chatgpt� tau aje kita2 suka puyeng ngitung rumus rangkaian listrik yg ga ditanyain di akhirat itu,1
Wicked Aphro,@Wicked Aphro,2025-07-02T03:31:40.000Z,"Tadi dosen jelasin sesuatu tapi aku gak mudeng, trus aku nanyatrus dosennya jelasin lagi tapi aku masih ga mudeng, jadi aku buka ChatGPT dan minta dijelasin dengan sederhana trus aku jadi ngerti. Makasih ChatGPT.",1
Teknologi Jelas,@Teknologi Jelas,"? Aug 6, 2025",Kenapa ini relevan?  �1 dari 3 mahasiswa sudah pakai ChatGPT (data OpenAI) �Edukasi berubah cepat: Altman bahkan bilang di podcast ? �Anak saya mungkin nggak kuliah nanti.� �Namun OpenAI tetap kolaborasi dengan akademisi (ada ChatGPT Edu),0
Teknologi Jelas,@Teknologi Jelas,"? Aug 6, 2025",Masalah utama:  �ChatGPT sering dipakai jadi �mesin jawaban instan� ? bikin mahasiswa skip critical thinking. �OpenAI sadar ? penggunaan seperti ini bisa hindering learning.,-1
Professor,@Professor,"? Jul 28, 2025","Kata gue mah ya, mending ga usah kuliah dah. percuma bayar kuliah, kalau diminta nulis chatgpt.  Gue masih idealis bahwa mahasiswa jenjang S1 WAJIB hukumnya diajarin critical thinking dan problem solving karena itu pondasi ilmu.  arrrghhhhhh!!! Jangan bikin anak orang jadi bego.",-1
Ferin ? ??,@Ferin ? ??,"? Jul 25, 2025","tapi, takut dikira pake AI  walaupun ada kali 20% dibantuin sama AI  but thnk you chatgpt   tag : curhatan mahasiswa tingkat akhir di ujung tanduk aka semester ini do kl gak sidang aka semester 14 hehehehe",-1
nu_hopper2004,@nu_hopper2004,"? Jul 21, 2025","tp yg paling ngakak sih dateng dari mulut pendeta (?) yg katanya mahasiswa IPK terbaik. dia bilang: ""Alkitab lebih dahsyat daripada sains"" (?) (mungkin maksud dia konteks saintifik). idk, ga jelas lu bego, dapet nilai bagus pake chatGPT ya?",-1
mba dos,@mba dos,"? Jul 21, 2025",Tanya chatgpt biaya hidup 1 bulan di australi sbg mahasiswa butuh sekitar 40-50jt ,0
grey,@grey,"? Jul 19, 2025","open book even open chatgpt during examination session is wild for me. i want a pure score from my brain. that's why i never open my book walaupun dijinkan. Yap, ga semua mengizinkan tapi mreka semua sembunyi di balik selimut karna takut mahasiswa ga lulus.",-1
Lisen,@Lisen,"? Jul 8, 2025","Mungkin bisa dinilai seberapa kritis ketika bertanya apa yg manusia tidak tahu dari informasi yg diberikan oleh ChatGPT, setidaknya dengan begitu tau pola pikir mahasiswa itu sejauh mana.",0
Joan.,@Joan.,"? Jul 7, 2025",udah mahasiswa masih aje nanya chatgpt,-1
Unpadfess X Kosaga Garmen,@Unpadfess X Kosaga Garmen,"? Jul 6, 2025"," Freelance alert! pad! Dibuka lowongan Personal Research Assistant (remote) buat kamu mahasiswa yang minat riset sosial & butuh kerja fleksibel.   Paid 10 jam/minggu  Full online  Akses ChatGPT Plus gratis!  Informasi selengkapnya bisa langsung chat : 0895397128784

USER: raka???? @elvanowistara � Jul 6, 2025",1
Y A N T O,@Y A N T O,"? Jul 3, 2025",cih mahasiswa jaman sekarang apa2 serba chatgpt ,-1
Adam,@Adam,"? Jul 3, 2025",Bangang ni jadi mahasiswa guna template chatgpt utk buat assignment! Akal Sendiri tak guna! So otak dah tak fungsi..Tu yang bodoh sampai tak tau siapa sasaran penyelesaian masalah dia sebenarnya,-1
Dwi Ashari,@Dwi Ashari,"? Jun 29, 2025",@UnivTerbuka   @utfess   @UT_Jakarta  parah banget tadi ada mahasiswa yang nyontek pas UO pake ChatGPT,-1
Lone Wolf,@Lone Wolf,"? Jun 27, 2025","Mahasiswa goblok, tinggal minta bikinin chatGPT kok malah main bacok... Derajatnya tidak lebih dari preman & ormas pemburu rendang",-1
SDR - Software DevelopeR,@SDR - Software DevelopeR,"? Jun 26, 2025",">> Perumpamaan yang sangat buruk.   Tajam sekali kata-katanya  Lihat lagi deh, apa kata Pak Rinaldi:  >> Bagi mahasiswa computer science/informatika, >> bila sering2 menggunakan ChatGPT untuk pemrograman, >> dapat merusak kemampuan logika dalam mendesain algoritma.  ",-1
afishare,@afishare,"? Jun 24, 2025","...Sebuah studi terbaru dari MIT menimbulkan kekhawatiran serius terkait dampak jangka panjang dari ketergantungan terhadap alat AI seperti ChatGPT terhadap fungsi kognitif manusia.  Dengan menggunakan pemindaian otak EEG, para peneliti melacak 54 mahasiswa selama empat bulan ..",-1
Gadget Corner,@Gadget Corner,"? Jun 24, 2025","andai anda bisa dicloning dan menggantikan guru2 yang ""cari digoogle"" atau ""tanya chatgpt"" mungkin 5 tahun kedepan siswa wakanda bakal selevel mahasiswa saat ini.",-1
Al Harkan,@Al Harkan,"? Jun 22, 2025","PSA:  Punya akses ke ChatGPT atau semacamnya tapi cuma dipakai question answering & bikin dokumen, itu ibarat punya smartphone flagship tapi cuma dipakai senternya.  Yang selalu saya bilang ke mahasiswa, meski mereka bukan jurusan TI: Belajarlah running Python script.",0
Puput,@Puput,"? Jun 21, 2025","aku di ut gak pernah nembus ipk 3 sekian, tutor jg kebanyakan afk dan ngasih feedback asal asalan dikira liat dari chatgpt pdhl gak, mending move ke unpam, udayana sm kampus2 yg dosennya aktif buat ngasih materi biar mahasiswa nya paham :)",-1
mira,@mira,"? Jun 17, 2025","ngonowi lek jawabane mahasiswa ko chatgpt dosen opo eroh mas
USER: nduu @slicesoffa � Jun 3, 2025",0
Pushing Me Away,@Pushing Me Away,"? Jun 2, 2025","Kekhawatiran soal �manja ChatGPT� sah, tapi justru alasan lebih kuat buat dorong literasi digital dan kemampuan berpikir kritis. pemahaman konsep mendalam mahasiswa teknik menurun karena terlalu mengandalkan tools tanpa paham esensinya.",-1
rei??,@rei??,"? May 25, 2025",gua selama jdi mahasiswa cuma 1 sem doang dpt kelompok yg isinya beban tapi ga sampe segininya bebannya cuma di bagian mereka ga mau parafrase terus info jurnal lagi lebih milih instan ke chatgpt tapi itu masih mending ada respon dari pada gini capek sendiri dah liatnya juga,-1
Ikan Hiu,@Ikan Hiu,"? May 23, 2025","LLM seperti ChatGPT itu bisa personalisasi dengan memberikan konteks.   Semudah kalo lu bilang lu anak SD atau Mahasiswa ke chatGPT, output yang dikasih itu berbeda. Dan semua itu bisa lebih dipersonalisasi dengan konteks yang lebih jelas dan terstruktur.",1
dancen00b,@dancen00b,"? May 19, 2025",Aku bukan mahasiswa tapi akhirnya aku nyerah karena ditodong bikin 5-6 script sehari akhirnya mulai pake ChatGPT juga walopun ya tetep bahannya dari aku dan banyak yg aku revisiin,1
win,@win,"? May 18, 2025","Tim pake dua-duanya. Tapi kalo u mahasiswa nyari artikel, jangan pake chatgpt. Ngga bakal bener. Nyari pake google scholar aja.",-1
Valentino Ringo,@Valentino Ringo,"? May 11, 2025","Aku sudah sampai tahap ini juga. Sudah bolak balik bilang ke mahasiswa di setiap kelas agar jangan ngasal pake LLM AI.  Karena kelihatan mana yg jiplak 90-100% dari chatgpt dan mana yang tidak. Esai itu bikinlah sendiri, chatgpt itu buat brainstorming dan rapihin hasil akhir",0
tata,@tata,"? May 10, 2025","hard agree to this. agak gimana gitu liat mahasiswa skrg delegasi semua assignment ke chatgpt & merasa normal normal aja karena mereka �edit� pake tangan sendiri dan itu keitung human touch. kemampuan kognitif itu kek otot, harus dilatih terus kalau mau kuat sama halnya dgn otak

USER: fasbre @yourbreakfastt � May 8, 2025",-1
andy,@andy,"? May 8, 2025","yg lebih ngerinya lagi gmn mahasiswa ngeliat kuliah cm tempat dpt nilai & ijazah, makanya enteng bgt ngasih semua kerjaan ke chatGPT. padahal sarjana itu kan harusnya buat belajar keilmuan.....",-1
.W.,@.W.,"? May 8, 2025",Sekarang siswa/mahasiswa jadi males mikir semenjak ada chatgpt ya,-1
vinn,@vinn,"? May 5, 2025",minimal kata gw chatgpt gratisin buat mahasiswa ugm dulu lah bro,1
seni,@seni,"? Member � May 4, 2025","padahal pake perplexity itu sumbernya lebih jelas jir ad linknya langsung, chatgpt mah suka kagaa ada. tp ya better baca sendiri jurnalnya sih.... jd mahasiswa knp males bgt ngulik sendiri",-1
Nadzirummubin,@Nadzirummubin,"? May 4, 2025","Sepakat Gus Menko  @cakimiNOW . Terutama bagi pelajar & mahasiswa era sekarang yg sitik-sitik ChatGPT, opo sitik Gemini, sembarang kudu gawe AI tanpa pengaturan pembatasan yg jelas. Shg ketergantungan pada petunjuk mesin, membuat nalar kritisnya menjadi tumpul.",-1
s,@s,"? May 2, 2025","Orng"" juga tau kali ai bukan cm chatgpt. Yg jdi problemnya ni binus nge d.o mahasiswa ny yg curang tp mlh pake ai. Sama aja kelakuannya curang",-1
Reina,@Reina,"? Apr 29, 2025",bjir gue war flashback baca paper mahasiswa gw yg full pake chatgpt terus sitasinya ngaco ,-1
nul micro fiber,@nul micro fiber,"? Apr 27, 2025",� peran chatGPT sebagai some one to talk dan support sistem untuk mahasiswa teknologi informasi universitas brawijaya � ,1
nanaz.,@nanaz.,"? Apr 26, 2025","Aku tadi tuweb pertama dg posisi masih clueless alhamdulilah dibantu dospemnya nderr, kan ada mahasiswa lain tuh yg bawa berbagai topik nah itu bisa buat inspirasi kamu. Atau brainstorming ide ajaa pake chatgpt, sesuaikan minat sama objek yg pengen kamu teliti nderr

USER: I.A @Ielhammer � Mar 15, 2025",1
lin,@lin,"? Mar 12, 2025",what?!? dosen fsrd yg ngomong gitu???? kenapa surem banget????   ini ortuku ngomel2 krn banyak mahasiswa yg make chatgpt tuh terlalu word per word kyk bahkan gak ada usaha sekecil proofreading ,-1
maw0,@maw0,"? Mar 11, 2025","roleplay, chatgpt jadi dosen penguji yg detail nan kritis, aku jadi mahasiswa",1
Jazzy Dwi Arimurti,@Jazzy Dwi Arimurti,"? Mar 7, 2025","Sptnya gapapa kak pake data umum jumlah mahasiswa kota bandung, nnt baru di kriteria inklusi pake kriteria ""mahasiswa kota bandung yg menggunakan chatgpt""",0
-,@-,"? Mar 4, 2025",Mahasiswa kalo dikumpulin juga pecinta chatgpt kok,1
rael,@rael,"? Feb 23, 2025",Mending ngetiknya dibantu ChatGPT jg si... klo kek gini yahhhh gitulah. Kek ketikan mahasiswa intern,1
ua,@ua,"? Feb 19, 2025","ujian sibuk nyari tempat di belakang biar bisa buka chatgpt, kalo ga deketan sama temen biar bisa contekan, kek lucu anjir mana mahasiswa (temen gw) banyak yg kek gt juga",-1
?? ????,@?? ????,"? Feb 18, 2025","Ngenyut pala ini, abis ngecekin ulang hasil analisis data mahasiswa,  kacau semua. Untung ada R dan chatgpt yg membantu... ",1
Sasa,@Sasa,"? Feb 12, 2025",Eh? Gue mau yap sedikit soal ada yg bilang negara hancur banget soalnya dosen2 skrg pada ngasi mahasiswa nya guide for using chatgpt tapi ga ke bookmark? Yah sayang,1
wisa,@wisa,"? Feb 11, 2025",setuju tapi sdm indo dikasi beginian makin makin zi wkwk keinget mahasiswa yang ngerjain ujian bahasa inggris pake chatgpt prompt awalnya juga ditulis,-1
melmelmel,@melmelmel,"? Feb 4, 2025",Sini kak dm aja! Mahasiswa S2 dan ga pake chatgpt,0
micel,@micel,"? Jan 31, 2025","Engga, saya mahasiswa yg lg kalang kabut butuh chatgpt",1
kangHajiii,@kangHajiii,"? Jan 28, 2025",Claude menjawab pertanyaan lebih tajam. Perplex memberi laman2 paper komprehensif. Chatgpt teman diskusi studi kasus Deepseek teman diskusi pengembangan diri. Maaf masih pakai versi gratis karena saya mahasiswa teknik yg medium poor ,1
Pancake,@Pancake,"? Jan 16, 2025","konteks buat mahasiswa kalo perlu sumber dari tulisannya, kalo buat daily chatgpt no debate",0
Lemed,@Lemed,"? Jan 10, 2025","Ini sempet jadi pembahasanku sama temen-temen teknik informatika lainnya sih. Kalo dari sisi FILKOM, apakah siap atau belum? Menurutku udah ""cukup."" What if I told you kalo ada dospem di FILKOM yang malah nyaranin mahasiswa bimbingannya buat pake ChatGPT? Tapi ingat bukan (...)

USER: juragan sembako @beautynbrutal � Jan 14, 2025",1
Lemed,@Lemed,"? Jan 10, 2025","Ini sempet jadi pembahasanku sama temen-temen teknik informatika lainnya sih. Kalo dari sisi FILKOM, apakah siap atau belum? Menurutku udah ""cukup."" What if I told you kalo ada dospem di FILKOM yang malah nyaranin mahasiswa bimbingannya buat pake ChatGPT? Tapi ingat bukan (...)",1
Yudha Rebel Heart,@Yudha Rebel Heart,"? Jan 7, 2025",ChatGPT dalam konteks gituan kayak sewaktu jaman dulu org ngerefer wikipedia.  Mahasiswa skrg harus diajarin/diingatkan lagi sih untuk cross check sumber informasi yg akan digunakan (aka berpikir kritis),0
Lovely Me,@Lovely Me,"? Jan 7, 2025",Bener ibu. Aku rasain banget jg kayak otak nih malas mikir. Kalo butuh apa2 chatgpt. Apalagi skrg wa udah ada meta. Jd kayak malas utk nyari referensi2 or ngulek sumber2 valid. Apalagi jk ini dipake masif ama siswa/mahasiswa ya. Makin terpuruk aja generasi emas kita nanti,-1
Azvya,@Azvya,"? Jan 7, 2025","Jadi tool vs jadi sumber itu beda sih bang, case di atas itu mahasiswa counter argumen dosennya pake ChatGPT buat sourcenya, dan gw kebayang sih konteksnya, ga cuma di kampus, di sosmed pun banyak banget yg coba langsung pake ChatGPT buat dijadiin dasar argumen pas debat",-1
L,@L,"? Dec 30, 2024",Habis itu tar mahasiswa lain ngebalas �tapi di chatgpt aku bilangnya bla bla bla�. Bukan �tapi berdasarkan penelitian yang dilakukan xx tahun xx hasil yang ditunjukkan berbeda karna�,-1
peh,@peh,"? Dec 29, 2024","Selamat pagi, mari awali pagi harimu dengan complain dari mahasiswa kenapa dapet BC padahal dia ketauan pake chatgpt pas uas. ",-1
Revaleaa,@Revaleaa,"? Dec 23, 2024",Selama Chatgpt aja masih jadi rujukan mahasiswa . Kenapa ada Marah2 dengan AI ,-1
asaa,@asaa,"? Dec 12, 2024",andai dosen-dosen ku bisa diajak berdiskusi tanpa menjudge pertanyaan yang ditanyakan mahasiswa nya (aku) sampai tengah malam sprti ini layaknya chatgpt ,-1
??????????,@??????????,"? Nov 24, 2024","jujur ga cuma mahasiswa tapi orang kantoran juga gini  sebelum ada chatgpt, seenggaknya ada baca buku buat nyari jawaban. searching google pun pasti dibaca dulu, hasilnya sesuai atau engga. sekarang orang jiplak plek ketiplek chatgpt, jadi pada manja ga mau mikir

USER: Hanna Amanda @Hna_amanda � Dec 3, 2024",-1
??????????,@??????????,"? Nov 24, 2024","jujur ga cuma mahasiswa tapi orang kantoran juga gini  sebelum ada chatgpt, seenggaknya ada baca buku buat nyari jawaban. searching google pun pasti dibaca dulu, hasilnya sesuai atau engga. sekarang orang jiplak plek ketiplek chatgpt, jadi pada manja ga mau mikir",-1
Iba ?,@Iba ?,"? Nov 24, 2024",LIKE BRO GW MAHASISWA NOT CHATGPT STFU ,-1
,@,"? Nov 24, 2024","""chatgpt makes it worse"" idk it could be a skill issue, but mostly it comes from intention... which then it would be a much complex issue. mahasiswa malas? kenapa? mahasiswa pengen lulus aja dan ga peduli gimana hasilnya? kenapa? mahasiswa terpressure dan gabisa maksimal? kenapa?",-1
Le,@Le,"? Nov 22, 2024",Rusak... Mahasiswa chatgpt,-1
?.mng,@?.mng,"? Nov 16, 2024","dan gw cukup kaget ternyata banyak mahasiswa yg skripsian pake chatgpt. jangan dibiasain nulis artikel apalagi berupa karya ilmiah make ginian, karna salah satu yg bakal ngaruh ke critical thinking sih menurut gw kalo disodorin mulu sm yg instan",-1
D. A. Wiguna,@D. A. Wiguna,"? Nov 14, 2024","Masalahnya,  Pertama, guru2 Indonesia punya pemahaman apa tentang AI dan Coding?   Kedua, anak2 sudah lama pegang HP dan aplikasi AI chat GPT ada bnyak dipakai dari SD sampe Mahasiswa  Maka, semua soal AI dan coding direduksi jadi pelajaran pakai chatGPT, yg merampas kecerdasan",-1
cik,@cik,"? Nov 10, 2024","makanya ituu kak.. seenggaknya kalo presentasi dri mahasiswa, dosen juga jelasin dan buka sesi open diskusinya dari dosen ajaa plis yang jawab soalnya kalo mahasiswa yang jawab juga di chatgpt anying",-1
Nama,@Nama,"? Nov 7, 2024","Mahasiswa sekarang dituntut untuk salah. karena klo ngerjain tugasnya bener dosennya langsung bilang, ""ah ini mah chatgpt!"" ",-1
Ismail Fahmi,@Ismail Fahmi,"? Nov 7, 2024",Kayaknya sering nanya gini ke Chatgpt: bagaimana cara mengajar yang menarik bagi mahasiswa dan mahasisWI ,0
Tata ??,@Tata ??,"? Nov 5, 2024",HAHAHAHAHA ANJIR. Mahasiswa sm dosen sama2 pake chatgpt kacau ,1
rainnie,@rainnie,"? Nov 5, 2024",giliran mahasiswa nya yg ketauan pake chatgpt lgsg nilai anjlok ,-1
